iter	MultiClass
0	1.071050027
1	1.045737954
2	1.020495596
3	0.996803598
4	0.9755927594
5	0.9549621536
6	0.9362973725
7	0.9181646397
8	0.9006724615
9	0.8833148004
10	0.867606189
11	0.852515022
12	0.8376602835
13	0.8228273325
14	0.809633779
15	0.797347659
16	0.7849417298
17	0.7732369053
18	0.7622109359
19	0.7518435444
20	0.7420293785
21	0.7317752626
22	0.7216738297
23	0.7123770541
24	0.7032523701
25	0.6945116014
26	0.6862665908
27	0.6785328939
28	0.670665069
29	0.6634366937
30	0.6564995304
31	0.6495925019
32	0.6429649562
33	0.6363675879
34	0.6303239773
35	0.6245486676
36	0.6185221725
37	0.6130716625
38	0.6074455979
39	0.6022218042
40	0.5970042477
41	0.5916129773
42	0.5867190801
43	0.5818847514
44	0.5773585286
45	0.5729553516
46	0.568577211
47	0.5644888598
48	0.5605379142
49	0.5565906237
50	0.5528066199
51	0.5489772739
52	0.5453782485
53	0.5419646008
54	0.5387482752
55	0.5352253289
56	0.5319366889
57	0.528603188
58	0.5254774784
59	0.5223174238
60	0.5195329677
61	0.5164316752
62	0.5135295616
63	0.5107877934
64	0.5080162497
65	0.5052241128
66	0.5026171222
67	0.4999277001
68	0.4972449214
69	0.4948422933
70	0.4924533225
71	0.4903841068
72	0.4879262429
73	0.4855644513
74	0.4833500368
75	0.4812778303
76	0.4791874227
77	0.4771758527
78	0.4751278301
79	0.4730803325
80	0.4712363641
81	0.4694018989
82	0.4676084175
83	0.4658829933
84	0.464181981
85	0.4625381655
86	0.460526047
87	0.4586490112
88	0.4568963187
89	0.4551922558
90	0.4535295221
91	0.4518188651
92	0.4502499251
93	0.4486920603
94	0.4472625076
95	0.4455878337
96	0.4438858408
97	0.4425449829
98	0.4410042686
99	0.439596064
100	0.4381610808
101	0.4367551401
102	0.4354843127
103	0.4341721971
104	0.4330213896
105	0.4314247942
106	0.4301550507
107	0.4289235529
108	0.4276310497
109	0.4263853342
110	0.4252666862
111	0.4241583932
112	0.4230624602
113	0.4218664512
114	0.4206322233
115	0.4194332869
116	0.4183120987
117	0.4171141904
118	0.4161321121
119	0.4153519986
120	0.4143760366
121	0.4134275121
122	0.4126473351
123	0.4114270188
124	0.4104090667
125	0.4094241677
126	0.4083671424
127	0.4073743811
128	0.4064129042
129	0.4055733739
130	0.4044191078
131	0.4035626847
132	0.4025562723
133	0.401362633
134	0.4004221766
135	0.3994483727
136	0.3986947796
137	0.3980127281
138	0.3972779908
139	0.3967463327
140	0.3958107687
141	0.3948976898
142	0.3943417875
143	0.3933733346
144	0.3925532297
145	0.3916487684
146	0.3906669119
147	0.3900460249
148	0.38896918
149	0.3881389503
150	0.3873064554
151	0.3865233224
152	0.3857432516
153	0.3850735062
154	0.384439493
155	0.3837897062
156	0.3831030139
157	0.3822259365
158	0.3816332866
159	0.380884413
160	0.3802383659
161	0.3793447788
162	0.378470363
163	0.3775533537
164	0.3768284911
165	0.3761721808
166	0.3754278966
167	0.3747274703
168	0.3741095363
169	0.3734982785
170	0.3727862715
171	0.3720096288
172	0.3712945505
173	0.3704451136
174	0.369809639
175	0.369075291
176	0.3682976299
177	0.3676793535
178	0.3669744933
179	0.3665435221
180	0.3657172691
181	0.3651748859
182	0.3645591556
183	0.363967034
184	0.3632642735
185	0.362554349
186	0.3618228459
187	0.3613001185
188	0.3608305122
189	0.3600155324
190	0.3591092817
191	0.3585981289
192	0.357927916
193	0.3572161888
194	0.3565359676
195	0.3556640231
196	0.355014668
197	0.3542506632
198	0.3535812236
199	0.35264525
200	0.3522802373
201	0.3517953977
202	0.3512515233
203	0.3506885222
204	0.3503359388
205	0.3496377375
206	0.3489775761
207	0.3483638168
208	0.3478916323
209	0.3473632194
210	0.3469162259
211	0.3463729235
212	0.3458508031
213	0.3453160943
214	0.3445977337
215	0.3439535346
216	0.3435460605
217	0.3431003024
218	0.3427656545
219	0.3422540026
220	0.3417006429
221	0.3412452673
222	0.3408265926
223	0.3403599869
224	0.3398568649
225	0.3395091678
226	0.3391220577
227	0.338573878
228	0.3380938217
229	0.3377918932
230	0.33718947
231	0.3363989514
232	0.3359024822
233	0.3352382206
234	0.3347284302
235	0.334265677
236	0.3338232703
237	0.3331018757
238	0.3325279574
239	0.3319897632
240	0.3314899356
241	0.3310440983
242	0.3305901984
243	0.3302142723
244	0.3297257792
245	0.3292468609
246	0.3286724169
247	0.3278912287
248	0.3274655317
249	0.3269209153
250	0.3264802467
251	0.3261046782
252	0.325488378
253	0.3249817155
254	0.3243991893
255	0.3238571039
256	0.3234150337
257	0.323053641
258	0.3225298367
259	0.3218976023
260	0.321578262
261	0.321272897
262	0.3208330549
263	0.3202859978
264	0.3198584378
265	0.3194763789
266	0.3190048352
267	0.3184650014
268	0.3179512199
269	0.3174244457
270	0.317075735
271	0.3165239116
272	0.3162011246
273	0.3156255932
274	0.3153027021
275	0.3148524365
276	0.3144667119
277	0.3139864646
278	0.3136789815
279	0.3131712118
280	0.3124631089
281	0.311949246
282	0.3111929768
283	0.3108885777
284	0.3105031412
285	0.3101566407
286	0.309578352
287	0.3090978696
288	0.3086849777
289	0.3081953502
290	0.3078670673
291	0.3076183436
292	0.3072059167
293	0.3067804029
294	0.306474446
295	0.306085297
296	0.3055310306
297	0.30498104
298	0.3044538168
299	0.3040112076
300	0.3034677833
301	0.302934104
302	0.3025546429
303	0.3020886392
304	0.3016749067
305	0.301286779
306	0.3009454257
307	0.3006148308
308	0.3002035639
309	0.299767097
310	0.2994779202
311	0.2992047912
312	0.2988335112
313	0.2984090381
314	0.2979722825
315	0.2975763023
316	0.2972117008
317	0.2969363794
318	0.2966051781
319	0.2960496625
320	0.2956169222
321	0.2953247729
322	0.2949985254
323	0.2943955577
324	0.2941301417
325	0.2937332151
326	0.2933451326
327	0.2929916264
328	0.2925948523
329	0.2922289772
330	0.2918973541
331	0.2913481488
332	0.290912664
333	0.2904567658
334	0.2897854065
335	0.2894037642
336	0.2891107517
337	0.2888765399
338	0.2882536377
339	0.2878281965
340	0.287655524
341	0.2873335478
342	0.2870187014
343	0.2867058206
344	0.2862065141
345	0.2857996334
346	0.2855824623
347	0.2852983055
348	0.2847803626
349	0.28437772
350	0.2838933168
351	0.2834005292
352	0.2829854011
353	0.282641003
354	0.2823185598
355	0.2818857709
356	0.2815196607
357	0.2811010407
358	0.280707966
359	0.2804057834
360	0.2801552345
361	0.2798560002
362	0.279563828
363	0.2792125795
364	0.2788403021
365	0.2784611283
366	0.2781962971
367	0.2779057627
368	0.2776403494
369	0.277465429
370	0.2772483677
371	0.2768582792
372	0.2764823631
373	0.2761159698
374	0.2756989551
375	0.2753795221
376	0.2750208363
377	0.274708511
378	0.2744078762
379	0.273975616
380	0.2737378682
381	0.2733985663
382	0.2730516548
383	0.272629112
384	0.2720877551
385	0.2717844678
386	0.2715080672
387	0.2711939896
388	0.2709330565
389	0.2703943467
390	0.26985815
391	0.2696667838
392	0.2693657618
393	0.2689915979
394	0.2686421135
395	0.268261308
396	0.2678519497
397	0.2675762326
398	0.2673248245
399	0.2670619898
400	0.2668416287
401	0.2665822901
402	0.2662051746
403	0.2657964886
404	0.2655078909
405	0.2651756531
406	0.2647557311
407	0.2645314848
408	0.264134288
409	0.2638633613
410	0.2634704362
411	0.2629868925
412	0.2625395995
413	0.262367959
414	0.2620024247
415	0.2617003387
416	0.2614102639
417	0.2611553725
418	0.2608983803
419	0.2606037258
420	0.2602915699
421	0.2599562505
422	0.2597175969
423	0.259460384
424	0.2592043487
425	0.2587813335
426	0.2583210146
427	0.2580375791
428	0.2576784013
429	0.2573015838
430	0.2568801092
431	0.256614121
432	0.256361808
433	0.2561632262
434	0.2558633322
435	0.25558391
436	0.2551910087
437	0.2549363406
438	0.2546714406
439	0.2543605058
440	0.2540156651
441	0.2537364549
442	0.2534659711
443	0.253192648
444	0.252924745
445	0.2524738165
446	0.2522587579
447	0.2519579512
448	0.251628104
449	0.2511746405
450	0.2509480511
451	0.2506521041
452	0.2503411528
453	0.2499747465
454	0.2498069537
455	0.2493989283
456	0.2490196963
457	0.2486916426
458	0.2485005592
459	0.2480664486
460	0.2478656681
461	0.2475044402
462	0.2473034234
463	0.2470753023
464	0.2468811651
465	0.2466101115
466	0.2464302732
467	0.2461687161
468	0.2457277658
469	0.2453368033
470	0.2450289231
471	0.2446779376
472	0.2444359628
473	0.2441817092
474	0.2439492409
475	0.2436327775
476	0.243372349
477	0.2430384867
478	0.2426621524
479	0.242312323
480	0.2420203688
481	0.24177138
482	0.241501549
483	0.2412182972
484	0.2408401876
485	0.240595292
486	0.2403138823
487	0.2400987394
488	0.2398424033
489	0.2396267993
490	0.2393234167
491	0.2391528557
492	0.2389950263
493	0.238372493
494	0.2379786135
495	0.237636894
496	0.2371992681
497	0.2368569935
498	0.2366142787
499	0.2362889624
500	0.2361187489
501	0.2359403595
502	0.2356703965
503	0.2352926042
504	0.2349794978
505	0.2345819209
506	0.2342908999
507	0.2340444298
508	0.2338311336
509	0.2335577818
510	0.2332753441
511	0.2327434101
512	0.2324085573
513	0.2319856804
514	0.2317280178
515	0.2313430259
516	0.2309191665
517	0.2306802279
518	0.2305476707
519	0.2302805596
520	0.2301012263
521	0.2297535847
522	0.2295410057
523	0.2290864518
524	0.2288816326
525	0.2285771223
526	0.2283251255
527	0.2281360805
528	0.227899762
529	0.2277313022
530	0.2274915465
531	0.2272361268
532	0.2270011426
533	0.2267148007
534	0.2263718573
535	0.226130844
536	0.225923742
537	0.2256433186
538	0.2253869286
539	0.2250169721
540	0.2247500007
541	0.2245496176
542	0.2243508309
543	0.2240411924
544	0.2237780034
545	0.2235902928
546	0.2232346522
547	0.2229827426
548	0.2227484207
549	0.222491911
550	0.2222007087
551	0.2220143433
552	0.2217604471
553	0.2214255461
554	0.2210975524
555	0.2207752605
556	0.2204924522
557	0.2201665564
558	0.2199649673
559	0.2198105942
560	0.2197000348
561	0.21946662
562	0.2193534945
563	0.2191305649
564	0.2189059141
565	0.2187515559
566	0.2184273497
567	0.2181538818
568	0.2179236036
569	0.2177419025
570	0.2173828192
571	0.2170913999
572	0.2167967252
573	0.2165166938
574	0.2162970262
575	0.2160595961
576	0.2158980706
577	0.2155674052
578	0.2153053767
579	0.2150471606
580	0.2148670603
581	0.2146115464
582	0.2144364267
583	0.2143016772
584	0.2138919944
585	0.2137775207
586	0.2135011042
587	0.2133056968
588	0.2130861208
589	0.2129142797
590	0.2126240256
591	0.2124798507
592	0.2123188991
593	0.2120802532
594	0.21184557
595	0.211522273
596	0.2112317707
597	0.2110951942
598	0.2108339424
599	0.2106500382
600	0.2105238937
601	0.2103560353
602	0.2100502645
603	0.2097617616
604	0.2096349885
605	0.2093297181
606	0.2091640198
607	0.2089988173
608	0.2088214419
609	0.2085129243
610	0.2081749834
611	0.208055719
612	0.2079176008
613	0.2076729238
614	0.2074546187
615	0.207235639
616	0.2069313864
617	0.2066324996
618	0.2064280607
619	0.2061233753
620	0.2059277493
621	0.2056708626
622	0.2054532823
623	0.205288408
624	0.205050441
625	0.2048458522
626	0.2046635758
627	0.2042843305
628	0.2039170845
629	0.203678653
630	0.2035649058
631	0.2033738387
632	0.2031859496
633	0.2029579843
634	0.2027176735
635	0.2025216717
636	0.2024244164
637	0.2022159947
638	0.2020541633
639	0.2018887128
640	0.2015834729
641	0.2013519423
642	0.2012419842
643	0.2010697985
644	0.2008321471
645	0.2005335783
646	0.200437598
647	0.2002686863
648	0.2000975153
649	0.1998886208
650	0.1996876466
651	0.1994563158
652	0.1992528724
653	0.1991180534
654	0.1988919769
655	0.198701592
656	0.198353776
657	0.1980381472
658	0.1978373386
659	0.1976474425
660	0.197422522
661	0.1973037689
662	0.1969931248
