iter	Passed	Remaining
0	272	270998
1	574	285932
2	846	280396
3	1184	294057
4	1373	272534
5	1531	252903
6	1694	239642
7	1897	234591
8	2106	231286
9	2267	223800
10	2442	218976
11	2611	214322
12	2842	215181
13	3119	219030
14	3383	221489
15	3581	219609
16	3792	218623
17	3999	217518
18	4190	215714
19	4354	212732
20	4531	210598
21	4701	208362
22	4867	206117
23	5068	205484
24	5235	203547
25	5397	201583
26	5569	200102
27	5729	198265
28	5895	196794
29	6129	197560
30	6304	196465
31	6542	197310
32	6753	197298
33	6961	197187
34	7244	199116
35	7452	198928
36	7647	198426
37	7839	197831
38	8101	199007
39	8397	200913
40	8780	204740
41	9217	209594
42	9244	205090
43	9746	211093
44	10335	218663
45	10734	221923
46	11116	224686
47	11438	226155
48	11754	227404
49	12095	229087
50	12563	233037
51	12834	233235
52	13141	234073
53	13391	233850
54	13689	234460
55	14044	235993
56	14369	236964
57	14873	240790
58	15155	240948
59	15430	240973
60	15750	241683
61	16080	242504
62	16364	242612
63	16812	245095
64	17013	243950
65	17204	242683
66	17355	240901
67	17790	243052
68	18132	243871
69	18329	242731
70	18499	241281
71	18675	239932
72	18880	238984
73	19034	237422
74	19191	235928
75	19352	234517
76	19517	233197
77	19715	232294
78	20015	232580
79	20499	234974
80	20723	234354
81	20899	233207
82	21077	232103
83	21271	231202
84	21478	230449
85	21669	229545
86	21850	228548
87	22040	227669
88	22415	228688
89	22630	228060
90	22821	227207
91	23010	226354
92	23192	225439
93	23400	224795
94	23594	224026
95	23786	223241
96	23962	222330
97	24184	221855
98	24581	222968
99	25016	224395
100	25266	224142
101	25481	223590
102	25662	222743
103	25853	221994
104	26044	221255
105	26245	220610
106	26559	220913
107	26786	220490
108	27027	220185
109	27251	219744
110	27471	219273
111	27668	218630
112	27882	218122
113	28136	217937
114	28389	217732
115	28586	217112
116	28809	216688
117	29026	216225
118	29283	216057
119	29517	215724
120	29694	214981
121	29891	214384
122	30065	213633
123	30236	212872
124	30457	212469
125	30662	211960
126	30869	211471
127	31260	212227
128	31863	214402
129	32091	214025
130	32359	213916
131	32577	213481
132	32815	213178
133	33083	213066
134	33305	212662
135	33506	212125
136	33701	211554
137	33993	211598
138	34182	210998
139	34431	210769
140	34642	210312
141	35251	212254
142	35680	213086
143	35941	212900
144	36181	212597
145	36416	212263
146	36647	211904
147	36967	212065
148	37195	211692
149	37439	211410
150	37643	210903
151	37875	210557
152	38105	210203
153	38335	209850
154	38570	209522
155	38767	208997
156	38981	208562
157	39186	208082
158	39404	207678
159	39618	207254
160	39804	206688
161	40021	206281
162	40248	205934
163	40545	205939
164	40776	205612
165	41044	205471
166	41295	205240
167	41497	204768
168	41705	204333
169	41901	203837
170	42156	203631
171	42406	203402
